Image,gender,API score,Human rating
265435549=rbi,m,4.0045,
309718351.jpg,m,4.0021,
Boris Babenko.jpg,m,8.9196,
433827119.png,m,5.1286,
Frank Fitzek.jpg,m,5.8649,
96560831=rbi,m,4.5213,
536580290.jpg,m,4.4146,
180699018=rbi,m,4.7221,
Chris Jermaine.jpg,m,5.9025,
Steve Crane.jpg,m,5.6544,
Nick McKeown.jpg,m,7.2087,
772142076jpeg,m,4.6337,
Ramon Lopez de Mantaras.jpg,m,5.4768,
768422036.jpg,m,4.4346,
586395988.jpg,m,5.7765,
215394228.jpg,m,5.1812,
432655201=rbi,m,4.5024,
192511106.jpg,m,4.5452,
520332659.png,m,4.3865,
photo.jpg,m,7.4737,
Sean Gongjpeg,m,4.0002,
714119803=rbi,m,5.2616,
855503038=rbi,m,4.114,
667138871.jpg,m,4.841,
883944457=rbi,m,4.0044,
163185521.png,m,4.94,
yyao.png,m,4.0002,
397481229.jpg,m,6.4373,
594795655.png,m,4.7542,
746595416.jpg,m,4.2866,
David Ferrucci.jpg,m,4.0776,
285317139=rbi,m,4.0271,
773883125=rbi,m,4.562,
871944907=rbi,m,4.0174,
593320594.jpg,m,4.0127,
161533099.jpg,m,6.8804,
Michael Bratman3upL,m,4.3716,
846902165=rbi,m,6.3563,
517191386.jpg,m,6.3007,
Petros Maragos.png,m,4.8138,
993401560.png,m,5.6214,
864718698.jpg,m,5.3461,
110903414=rbi,m,6.692,
190108763.jpg,m,5.4009,
460533848.jpg,m,4.1048,
Philip Choujpeg,m,5.5622,
871665025.jpg,m,4.4975,
642653888.jpg,m,5.309,
845115949.jpg,m,4.0376,
766870783.jpg,m,5.6855,
David Gunning.jpg,m,4.2324,
59425657.jpg,m,4.016,
Nick Graham.jpg,m,4.9311,
David Hand.jpg,m,6.279,
148718325.png,m,4.2909,
442784814.jpg,m,6.3439,
Diego Lopez.jpg,m,6.9388,
233124704.jpg,m,4.2103,
Hideki Hashimoto.jpg,m,4.2813,
703501107=rbi,m,4.8746,
640646481.jpg,f,6.9188,
152792513jpeg,f,7.2833,
56189489.png,f,5.5382,
814046441.jpg,f,9.9874,
399507225.png,f,7.3743,
Paula M. Niedenthal.jpg,f,4.2669,
750824367.jpg,f,6.9262,
145374758=rbi,f,9.9881,
414234664.png,f,6.2731,
K.jpg,f,4.0167,
veloso.jpg,f,4.0002,
MIkael Wiberg.jpg,f,4.9995,
Julia Hirschberg.jpg,f,4.1666,
736766784.jpg,f,4.114,
 Ayanna Howard.jpg,f,6.1053,
591930065.png,f,6.5012,
985070044.jpg,f,8.8391,
27762045.jpg,f,4.0706,
Gerhard P. Fettweis.jpg,f,4.5138,
136434887.jpg,f,6.9323,
197779739=rbi,f,6.1937,
985893009.png,f,6.8573,
557842786.jpg,f,4.8924,
342674222.jpg,f,9.9985,
Mary Czerwinski.jpg,f,8.7883,
Image of ACM Distinguished Speaker Elizabeth Churchillpcta,f,4.6479,
Cynthia Breazeal.jpg,f,8.8673,
883471643.jpg,f,8.3757,
Elisa Bertino.jpg,f,4.0029,
Kathleen M. Carley.jpg,f,6.0969,
Victoria Stodden.jpg,f,5.449,
110785922=rbi,f,4.1304,
621565260.jpg,f,6.2801,
29786243.jpg,f,4.0037,
Lynne Parker.jpg,f,4.1081,
640809050.png,f,4.6239,
Michael Zillich.jpg,f,4.5733,
773567785.jpg,f,7.7052,
588137193.png,f,5.5257,
15978625.jpg,f,4.1498,
