speaker_id,gender,human,api
1,m,4.1667,4.114
2,m,3.0909,4.0021
3,m,5,8.9196
4,m,5.2727,5.1286
5,m,4.5833,5.8649
6,m,4.8571,6.0811
7,m,5.4167,4.4146
8,m,4.7692,6.2326
9,m,4.8333,5.9025
10,m,4.3,5.6544
11,m,5,7.2087
12,m,5.4167,5.6756
13,m,3.5,5.4768
14,m,4.9231,4.4346
15,m,6.5455,5.7765
16,m,4.25,5.1812
17,m,5.0909,4.274
18,m,3.1818,4.5452
19,m,2.8182,4.3865
20,m,5.3333,7.4737
21,m,4.7857,4.0002
22,m,5.625,7.7386
23,m,3.8182,4.0244
24,m,5,4.841
25,m,2.0909,5.4028
26,m,4.5833,4.94
27,m,5.0833,4.0002
28,m,4.75,6.4373
29,m,4.9231,4.7542
30,m,3.6,4.2866
31,m,2.4167,4.0776
32,m,4.3333,6.9726
33,m,4.6923,4.3945
34,m,4.75,4.8719
35,m,4.5,4.0127
36,m,5.8182,6.8804
37,m,4.9091,7.4032
38,m,5.5385,6.7819
39,m,5,6.3007
40,m,4.2941,4.8138
41,m,4.3636,5.6214
42,m,3.4545,5.3461
43,m,3.9091,4.0874
44,m,5,5.4009
45,m,2.3636,4.1048
46,m,6.7143,6.2187
47,m,4.4545,4.4975
48,m,4.6923,5.309
49,m,5.1333,4.0376
50,m,3.8182,5.6855
51,m,3.3571,4.2324
52,m,4.3846,4.016
53,m,3,4.9311
54,m,3.5833,6.279
55,m,4.9167,4.2909
56,m,4.8182,6.3439
57,m,3.7273,6.9388
58,m,5,4.2103
59,m,4.75,4.2813
60,m,5.8182,4.0112
61,f,6.3846,6.9188
62,f,6.5833,4.8357
63,f,5.3,5.5382
64,f,6.9167,9.9874
65,f,5.4286,7.1362
66,f,6,4.2669
67,f,7,6.9262
68,f,7.5833,4.2176
69,f,6.3077,6.2731
70,f,5.5385,4.0167
71,f,4.2308,4.0002
72,f,5.5455,5.3637
73,f,5.5,4.1666
74,f,5.5455,8.8605
75,f,7.2727,6.0965
76,f,5.4615,4.301
77,f,8.3846,8.8391
78,f,6.2727,4.0706
79,f,6.8333,4.9602
80,f,5.7273,6.9323
81,f,6,5.3513
82,f,6,6.8573
83,f,5.9091,4.8924
84,f,8.3571,9.9985
85,f,7.0833,8.7883
86,f,7.9167,5.8685
87,f,5.6364,8.8673
88,f,5.7273,8.3757
89,f,5.1667,4.0029
90,f,5.1667,6.0969
91,f,7.1667,5.449
92,f,4.5,4.0051
93,f,8.2308,6.2801
94,f,6.0833,4.0037
95,f,5.3333,4.1081
96,f,5.8333,4.6239
97,f,5.5833,8.7998
98,f,5.7692,6.7237
99,f,6.8462,5.5257
100,f,5.3846,4.1498
